Feature1,Feature2,Label
8.253606812744053,-6.99317364003863,1
9.493706716411522,5.432953919499578,2
9.40873325200886,-8.693702476856775,1
9.355493636508282,3.3000330115647527,2
0.2313278164957948,-7.756159950590577,0
9.105621397805601,-5.831430619815914,1
0.22579521536809755,-8.658962256038093,0
7.365667095601838,-7.77900909163582,1
11.501259283095944,3.530326248376455,2
-0.016259733359161532,8.858758759940455,3
10.358932753248725,6.542954977740284,2
9.059810541593702,-7.729072342647475,1
10.276489332242496,4.6030821305808125,2
11.012109020755997,2.890583435432267,2
9.993222168191412,-6.8995201051457,1
9.776361927900838,-7.920908082310528,1
-0.3054390184071225,7.328753136184954,3
9.468231458244228,3.3119712869773013,2
0.1621889863646222,9.664132597903494,3
11.970556315097534,5.484312770990474,2
2.9784998466984134,-10.115502765536212,0
10.857096642314572,3.3690628165959993,2
-1.2075708773822653,10.15357797673893,3
-2.9440150249749713,9.233902324930284,3
1.8867289955141517,-9.51336897972053,0
10.47778302562423,3.1976567216357177,2
11.251089697069027,4.215997961464928,2
1.027783016682127,8.184068966874882,3
-0.1500725787869276,7.696386637809855,3
1.9079354140308158,-9.628554588955037,0
2.118873760585884,-7.741261266407094,0
-1.9018427978864183,10.019494055667995,3
8.040455891726621,-8.1259909074225,1
-1.2083937736113153,8.066641476817416,3
0.28858551576597313,-8.715612939967894,0
7.638477437153769,5.69638359303004,2
-1.0193336373995043,10.22198873094711,3
9.911879770320335,4.735655563114716,2
0.1510768320008774,8.054907054004612,3
2.4318538986810427,-10.609882531741409,0
8.500223749189116,4.027129268647592,2
1.0262245331659459,-9.074621807174795,0
-1.4062120008699734,9.464908314785378,3
11.355754867354399,4.682925504088182,2
9.771983496398505,-8.988122213159638,1
9.0475221273324,-8.499459773712339,1
-0.6681432611686066,8.676193838983599,3
10.32410795389984,5.12594762954817,2
10.091165574615495,5.405291044933798,2
10.643634708712902,-8.515727989482897,1
1.2264567664844015,-9.459995761103281,0
-1.7458491796456586,9.941408826074689,3
-1.651200568747253,9.155373897562589,3
8.979979719890355,4.543618469523522,2
10.422938995437821,4.726008404861481,2
0.8421393584858756,9.112992851500872,3
